iter	Passed	Remaining
0	12	6500
1	20	5439
2	23	4169
3	26	3515
4	29	3116
5	32	2857
6	35	2664
7	38	2488
8	40	2376
9	45	2348
10	51	2450
11	57	2500
12	63	2543
13	66	2470
14	69	2394
15	73	2350
16	75	2297
17	79	2254
18	81	2204
19	84	2153
20	86	2104
21	89	2069
22	92	2039
23	95	2007
24	97	1980
25	100	1948
26	102	1918
27	105	1893
28	108	1871
29	111	1858
30	114	1854
31	117	1833
32	120	1814
33	124	1815
34	127	1806
35	130	1789
36	132	1772
37	139	1815
38	144	1823
39	146	1804
40	150	1795
41	152	1780
42	156	1771
43	158	1756
44	161	1743
45	165	1746
46	169	1743
47	171	1727
48	173	1709
49	175	1691
50	177	1673
51	179	1656
52	182	1645
53	185	1635
54	187	1624
55	190	1614
56	192	1601
57	195	1591
58	198	1587
59	200	1577
60	203	1568
61	206	1562
62	208	1551
63	211	1541
64	213	1532
65	216	1525
66	219	1517
67	221	1508
68	223	1498
69	226	1489
70	228	1480
71	231	1473
72	233	1467
73	236	1459
74	238	1452
75	241	1445
76	243	1438
77	246	1431
78	249	1424
79	251	1418
80	254	1412
81	256	1405
82	259	1399
83	262	1396
84	265	1392
85	267	1386
86	270	1379
87	272	1373
88	275	1365
89	277	1360
90	280	1354
91	283	1350
92	286	1350
93	289	1344
94	291	1339
95	296	1342
96	299	1338
97	301	1332
98	304	1326
99	306	1320
100	309	1319
101	312	1314
102	315	1309
103	317	1303
104	319	1298
105	322	1293
106	325	1288
107	327	1283
108	330	1279
109	333	1277
110	336	1274
111	339	1269
112	342	1267
113	345	1263
114	348	1260
115	351	1257
116	353	1252
117	356	1248
118	359	1244
119	362	1240
120	365	1238
121	368	1236
122	371	1231
123	374	1229
124	377	1225
125	379	1220
126	382	1215
127	384	1210
128	387	1206
129	390	1204
130	393	1200
131	395	1196
132	398	1191
133	400	1186
134	402	1181
135	405	1177
136	408	1174
137	410	1170
138	413	1165
139	415	1160
140	418	1156
141	420	1152
142	423	1149
143	426	1145
144	428	1141
145	431	1136
146	434	1136
147	437	1133
148	441	1131
149	443	1127
150	446	1123
151	448	1118
152	451	1114
153	454	1112
154	457	1110
155	459	1105
156	462	1101
157	464	1096
158	466	1092
159	469	1088
160	471	1084
161	475	1082
162	477	1079
163	480	1074
164	482	1070
165	485	1067
166	487	1063
167	490	1059
168	492	1055
169	494	1051
170	497	1047
171	499	1043
172	502	1039
173	505	1037
174	508	1033
175	510	1029
176	512	1025
177	516	1023
178	519	1020
179	521	1017
180	524	1013
181	527	1011
182	530	1008
183	532	1004
184	536	1003
185	539	1000
186	542	997
187	544	993
188	547	990
189	550	988
190	553	984
191	555	981
192	559	979
193	561	975
194	565	974
195	568	971
196	570	967
197	573	963
198	575	959
199	577	956
200	580	952
201	582	949
202	585	946
203	587	942
204	590	938
205	592	934
206	595	931
207	598	929
208	601	926
209	603	922
210	606	919
211	608	915
212	611	912
213	613	908
214	616	905
215	618	902
216	620	898
217	623	895
218	626	891
219	629	889
220	631	886
221	634	883
222	638	881
223	640	878
224	643	874
225	645	871
226	648	868
227	650	864
228	653	861
229	655	858
230	658	854
231	660	851
232	663	848
233	666	845
234	669	842
235	671	839
236	674	836
237	678	835
238	681	832
239	683	829
240	686	825
241	688	822
242	691	819
243	693	816
244	696	813
245	700	811
246	703	809
247	707	806
248	709	803
249	711	800
250	715	797
251	717	794
252	720	791
253	723	788
254	725	785
255	728	782
256	730	779
257	733	776
258	736	773
259	738	770
260	741	767
261	744	764
262	747	761
263	750	759
264	753	756
265	755	753
266	758	750
267	761	747
268	763	744
269	766	740
270	768	737
271	772	735
272	774	732
273	777	729
274	779	725
275	782	722
276	784	719
